first,last,team,year,games_played,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,pfgm,pfg3m,pftm
Domantas,Sabonis,IND,2020,62.0,35:59:00,7.81,14.58,0.84,2.61,3.87,5.29,2.42,9.55,11.97,6.69,1.23,0.53,3.44,3.27,20.32,0.5356652949245542,0.3218390804597701,0.7315689981096408
Rudy,Gobert,UTA,2020,71.0,30:46:00,5.51,8.15,0.0,0.06,3.28,5.27,3.38,10.14,13.52,1.25,0.56,2.68,1.66,2.3,14.3,0.6760736196319018,0.0,0.6223908918406073
Kyrie,Irving,BRK,2020,54.0,34:56:00,10.17,20.11,2.81,7.0,3.72,4.04,0.96,3.8,4.76,6.0,1.41,0.69,2.41,2.59,26.87,0.5057185479860766,0.4014285714285714,0.9207920792079208
Bradley,Beal,WAS,2020,61.0,35:42:00,11.15,23.07,2.15,6.21,6.7,7.56,1.2,3.59,4.79,4.44,1.13,0.39,3.11,2.34,31.15,0.4833116601647161,0.3462157809983897,0.8862433862433863
Kawhi,Leonard,LAC,2020,52.0,34:03:00,8.94,17.46,1.94,4.88,5.02,5.67,1.06,5.42,6.48,5.17,1.56,0.4,2.02,1.58,24.85,0.5120274914089347,0.3975409836065574,0.8853615520282186
Jayson,Tatum,BOS,2020,65.0,35:51:00,9.52,20.77,2.95,7.65,4.8,5.49,0.8,6.58,7.38,4.31,1.17,0.51,2.66,1.89,26.8,0.4583533943187289,0.38562091503267976,0.8743169398907104
Zion,Williamson,NOP,2020,61.0,33:12:00,10.39,17.0,0.16,0.56,6.05,8.67,2.74,4.49,7.23,3.7,0.93,0.64,2.74,2.21,27.0,0.6111764705882353,0.2857142857142857,0.6978085351787774
James,Harden,BRK,2020,44.0,36:33:00,7.77,16.68,2.75,7.59,6.32,7.34,0.8,7.11,7.91,10.8,1.2,0.75,4.02,2.25,24.61,0.4658273381294964,0.36231884057971014,0.8610354223433243
Donovan,Mitchell,UTA,2020,53.0,33:24:00,9.02,20.58,3.36,8.7,5.04,5.96,0.94,3.49,4.43,5.23,0.98,0.28,2.77,2.21,26.43,0.4382896015549077,0.38620689655172413,0.8456375838926175
Zach,LaVine,CHI,2020,58.0,35:06:00,9.81,19.36,3.45,8.22,4.36,5.14,0.62,4.36,4.98,4.86,0.79,0.47,3.5,2.38,27.43,0.5067148760330579,0.4197080291970803,0.8482490272373542
Nikola,Vucevic,ORL,2020,70.0,33:30:00,9.51,19.94,2.51,6.29,1.87,2.23,2.09,9.59,11.67,3.84,0.93,0.69,1.8,1.96,23.41,0.4769307923771314,0.3990461049284578,0.8385650224215248
Julius,Randle,NYK,2020,71.0,37:32:00,8.48,18.61,2.25,5.48,4.9,6.04,1.18,9.01,10.2,6.01,0.9,0.25,3.39,3.17,24.11,0.4556689951638904,0.4105839416058394,0.8112582781456954
Mike,Conley,UTA,2020,51.0,29:21:00,5.57,12.55,2.71,6.57,2.37,2.78,0.71,2.76,3.47,5.98,1.37,0.18,1.94,1.92,16.22,0.4438247011952191,0.4124809741248097,0.8525179856115109
Stephen,Curry,GSW,2021,65.0,34:18:00,8.29,18.98,4.43,11.66,4.26,4.62,0.52,4.71,5.23,6.29,1.35,0.35,3.22,2.0,25.28,0.4367755532139093,0.3799313893653516,0.922077922077922
LeBron,James,LAL,2021,54.0,37:12:00,11.33,21.67,2.81,7.94,4.41,5.83,1.13,7.06,8.19,6.28,1.33,1.06,3.54,2.22,29.89,0.5228426395939086,0.353904282115869,0.7564322469982847
Giannis,Antetokounmpo,MIL,2021,67.0,32:56:00,10.28,18.58,1.06,3.61,8.25,11.43,2.0,9.61,11.61,5.79,1.07,1.36,3.27,3.16,29.88,0.5532831001076426,0.29362880886426596,0.7217847769028871
DeMar,DeRozan,CHI,2021,77.0,35:59:00,10.12,20.12,0.65,1.86,6.79,7.75,0.73,4.42,5.14,4.91,0.88,0.34,2.36,2.32,27.68,0.5029821073558648,0.3494623655913978,0.8761290322580645
Nikola,Jokic,DEN,2021,74.0,33:25:00,10.32,17.72,1.31,3.89,5.12,6.32,2.78,10.99,13.77,7.89,1.47,0.85,3.8,2.58,27.08,0.5823927765237021,0.33676092544987146,0.810126582278481
Luka,Doncic,DAL,2021,65.0,35:24:00,9.86,21.58,3.09,8.75,5.6,7.52,0.86,8.26,9.12,8.74,1.15,0.55,4.49,2.23,28.42,0.45690454124189067,0.35314285714285715,0.7446808510638298
Darius,Garland,CLE,2021,69.0,35:35:00,7.9,17.1,2.54,6.65,3.13,3.52,0.57,2.7,3.26,8.49,1.29,0.1,3.62,1.67,21.46,0.4619883040935672,0.3819548872180451,0.8892045454545454
Jarrett,Allen,CLE,2021,57.0,32:07:00,6.51,9.68,0.02,0.18,2.96,4.16,3.42,7.32,10.74,1.63,0.77,1.32,1.67,1.7,16.0,0.6725206611570248,0.11111111111111112,0.7115384615384615
Fred,VanVleet,TOR,2021,66.0,37:39:00,6.74,16.79,3.68,9.82,2.95,3.41,0.68,3.79,4.47,6.7,1.71,0.53,2.62,2.48,20.12,0.4014294222751638,0.37474541751527496,0.8651026392961877
Jimmy,Butler,MIA,2021,57.0,33:51:00,6.98,14.54,0.47,2.04,6.95,7.98,1.79,4.11,5.89,5.47,1.65,0.47,2.12,1.54,21.39,0.48005502063273736,0.23039215686274508,0.8709273182957393
Chris,Paul,PHO,2021,65.0,32:55:00,5.58,11.32,0.97,3.06,2.6,3.11,0.34,4.02,4.35,10.8,1.86,0.31,2.35,2.06,14.74,0.4929328621908127,0.31699346405228757,0.8360128617363345
Joel,Embiid,PHI,2021,67.0,33:42:00,9.76,19.52,1.34,3.66,9.51,11.69,2.12,9.51,11.63,4.19,1.13,1.4,3.15,2.69,30.37,0.5,0.366120218579235,0.8135158254918734
Jayson,Tatum,BOS,2021,77.0,35:48:00,9.27,20.52,3.0,8.51,5.26,6.16,1.12,6.91,8.03,4.36,1.01,0.64,2.84,2.29,26.81,0.45175438596491224,0.35252643948296125,0.8538961038961038
Trae,Young,ATL,2021,77.0,34:37:00,9.3,20.25,3.04,7.99,6.53,7.22,0.65,3.04,3.69,9.61,0.94,0.09,3.99,1.69,28.17,0.4592592592592593,0.3804755944931164,0.9044321329639889
Ja,Morant,MEM,2021,58.0,33:04:00,10.19,20.6,1.53,4.48,5.52,7.22,1.34,4.36,5.71,6.69,1.14,0.38,3.47,1.48,27.43,0.4946601941747572,0.3415178571428571,0.7645429362880886
Andrew,Wiggins,GSW,2021,74.0,31:45:00,6.49,13.91,2.15,5.46,2.03,3.2,1.15,3.26,4.41,2.2,1.04,0.69,1.5,2.14,17.15,0.4665708123652049,0.39377289377289376,0.6343749999999999
Devin,Booker,PHO,2021,68.0,34:27:00,9.74,20.9,2.69,7.03,4.63,5.34,0.66,4.37,5.03,4.84,1.13,0.38,2.38,2.65,26.79,0.46602870813397135,0.38264580369843526,0.8670411985018727
Dejounte,Murray,SAS,2021,69.0,34:37:00,8.39,18.16,1.39,4.3,2.91,3.65,1.16,7.04,8.2,9.13,2.01,0.33,2.62,2.01,21.09,0.4620044052863436,0.32325581395348835,0.7972602739726028
LaMelo,Ball,CHO,2021,76.0,32:08:00,7.17,16.67,2.91,7.49,2.79,3.2,1.43,5.24,6.67,7.58,1.59,0.39,3.26,3.13,20.04,0.430113977204559,0.3885180240320427,0.871875
Khris,Middleton,MIL,2021,66.0,32:27:00,6.85,15.47,2.45,6.58,3.92,4.41,0.62,4.77,5.39,5.42,1.15,0.27,2.88,2.42,20.08,0.442792501616031,0.37234042553191493,0.8888888888888888
Karl-Anthony,Towns,MIN,2021,75.0,33:10:00,8.64,16.31,2.03,4.93,5.13,6.25,2.61,7.17,9.79,3.64,0.96,1.12,3.03,3.59,24.44,0.5297363580625384,0.4117647058823529,0.8208
Rudy,Gobert,UTA,2021,66.0,32:06:00,5.48,7.7,0.0,0.06,4.59,6.65,3.65,11.02,14.67,1.09,0.68,2.08,1.8,2.67,15.56,0.7116883116883117,0.0,0.6902255639097744
Zach,LaVine,CHI,2021,68.0,34:34:00,8.44,17.65,2.78,7.07,4.75,5.56,0.32,4.25,4.57,4.5,0.65,0.34,2.53,1.78,24.41,0.4781869688385269,0.3932107496463932,0.85431654676259
Jayson,Tatum,BOS,2022,74.0,36:55:00,9.82,21.07,3.24,9.27,7.18,8.41,1.05,7.72,8.77,4.62,1.05,0.69,2.88,2.16,30.07,0.4660654959658282,0.34951456310679613,0.8537455410225921
Donovan,Mitchell,CLE,2022,68.0,35:49:00,9.99,20.62,3.6,9.34,4.69,5.41,0.93,3.32,4.25,4.43,1.46,0.4,2.65,2.47,28.26,0.4844810863239573,0.3854389721627409,0.8669131238447321
Lauri,Markkanen,UTA,2022,66.0,34:24:00,8.65,17.35,3.03,7.74,5.29,6.05,1.97,6.67,8.64,1.86,0.64,0.58,1.92,2.08,25.62,0.49855907780979825,0.39147286821705424,0.8743801652892562
Ja,Morant,MEM,2022,61.0,31:57:00,9.28,19.9,1.51,4.92,6.1,8.15,1.0,4.85,5.85,8.08,1.08,0.26,3.38,1.64,26.16,0.4663316582914573,0.3069105691056911,0.7484662576687116
Giannis,Antetokounmpo,MIL,2022,63.0,32:09:00,11.22,20.29,0.75,2.71,7.9,12.25,2.17,9.6,11.78,5.7,0.83,0.81,3.9,3.13,31.1,0.5529817644159685,0.2767527675276753,0.6448979591836735
Bam,Adebayo,MIA,2022,77.0,34:45:00,7.9,14.74,0.01,0.16,4.31,5.38,2.47,6.81,9.27,3.22,1.19,0.83,2.48,2.77,20.12,0.5359565807327001,0.0625,0.8011152416356877
Damian,Lillard,POR,2022,58.0,36:26:00,9.59,20.72,4.21,11.34,8.79,9.62,0.76,4.02,4.78,7.33,0.86,0.31,3.29,1.88,32.17,0.46283783783783783,0.3712522045855379,0.9137214137214137
DeMar,DeRozan,CHI,2022,76.0,36:24:00,8.89,17.64,0.61,1.91,6.14,7.07,0.49,4.17,4.66,5.12,1.11,0.5,2.05,2.53,24.54,0.503968253968254,0.3193717277486911,0.8684582743988684
Pascal,Siakam,TOR,2022,72.0,37:25:00,8.93,18.54,1.31,4.03,5.17,6.74,1.85,6.0,7.85,5.85,0.92,0.5,2.39,3.21,24.33,0.4816612729234089,0.3250620347394541,0.7670623145400594
Domantas,Sabonis,SAC,2022,79.0,34:38:00,7.3,11.87,0.39,1.05,4.11,5.54,3.18,9.14,12.32,7.25,0.82,0.49,2.91,3.53,19.11,0.6149957877000842,0.37142857142857144,0.7418772563176896
Shai,Gilgeous-Alexander,OKC,2022,70.0,35:36:00,10.29,20.31,0.86,2.49,9.84,10.84,0.9,3.97,4.87,5.39,1.66,0.99,2.79,2.86,31.27,0.5066469719350074,0.34538152610441764,0.9077490774907749
Jrue,Holiday,MIL,2022,67.0,32:33:00,7.31,15.27,2.36,6.13,2.27,2.64,1.16,3.91,5.07,7.39,1.16,0.37,2.94,1.73,19.25,0.47871643745907005,0.38499184339314846,0.8598484848484849
Kyrie,Irving,DAL,2022,60.0,37:18:00,9.9,20.05,3.13,8.27,4.12,4.55,0.98,4.08,5.07,5.52,1.1,0.75,2.13,2.75,27.05,0.4937655860349127,0.3784764207980653,0.9054945054945056
Joel,Embiid,PHI,2022,66.0,34:38:00,11.03,20.12,1.0,3.03,10.02,11.68,1.71,8.44,10.15,4.15,1.0,1.7,3.42,3.11,33.08,0.548210735586481,0.33003300330033003,0.857876712328767
Nikola,Jokic,DEN,2022,69.0,33:40:00,9.36,14.81,0.83,2.16,4.94,6.01,2.42,9.42,11.84,9.83,1.26,0.68,3.58,2.52,24.49,0.6320054017555705,0.3842592592592592,0.8219633943427621
Luka,Doncic,DAL,2022,66.0,36:11:00,10.89,21.95,2.8,8.2,7.8,10.52,0.82,7.8,8.62,8.02,1.36,0.5,3.58,2.52,32.39,0.49612756264236907,0.34146341463414637,0.7414448669201521
LeBron,James,LAL,2022,56.0,35:42:00,11.09,22.14,2.21,6.84,4.54,5.89,1.18,7.16,8.34,6.8,0.91,0.61,3.27,1.66,28.93,0.5009033423667569,0.3230994152046784,0.7707979626485569
Jaylen,Brown,BOS,2022,67.0,35:56:00,10.13,20.64,2.43,7.27,3.93,5.13,1.16,5.69,6.85,3.46,1.12,0.39,2.94,2.57,26.63,0.4907945736434109,0.33425034387895464,0.7660818713450293
Julius,Randle,NYK,2022,77.0,35:35:00,8.55,18.6,2.83,8.26,5.22,6.9,1.83,8.13,9.96,4.1,0.64,0.27,2.81,3.03,25.14,0.4596774193548387,0.34261501210653755,0.7565217391304347
Paul,George,LAC,2022,56.0,34:39:00,8.2,17.93,2.82,7.61,4.57,5.25,0.8,5.3,6.11,5.14,1.48,0.36,3.14,2.84,23.79,0.4573340769659788,0.3705650459921156,0.8704761904761905
Anthony,Edwards,MIN,2022,81.0,36:10:00,8.86,19.47,2.67,7.35,3.98,5.26,0.6,5.27,5.88,4.46,1.58,0.77,3.27,2.36,24.37,0.45505906522855677,0.363265306122449,0.7566539923954373
Tyrese,Haliburton,IND,2022,56.0,33:32:00,7.36,15.02,2.88,7.18,3.13,3.59,0.59,3.07,3.66,10.45,1.63,0.45,2.52,1.23,20.71,0.4900133155792277,0.4011142061281337,0.871866295264624
De'Aaron,Fox,SAC,2022,73.0,33:23:00,9.34,18.23,1.63,5.03,4.7,6.03,0.55,3.64,4.19,6.12,1.14,0.32,2.48,2.36,25.01,0.512342292923752,0.3240556660039761,0.7794361525704809
Jaren,Jackson Jr.,MEM,2022,63.0,28:24:00,6.6,13.05,1.59,4.48,3.83,4.86,1.71,5.05,6.76,0.95,1.03,3.0,1.7,3.6,18.62,0.5057471264367815,0.35491071428571425,0.7880658436213991
