first,last,team,year,games_played,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,pfgm,pfg3m,pftm
Karl-Anthony,Towns,MIN,2017,82.0,35:35:00,7.79,14.29,1.46,3.48,4.21,4.9,2.9,9.44,12.34,2.43,0.78,1.4,1.94,3.48,21.26,0.5451364590622814,0.41954022988505746,0.8591836734693877
Al,Horford,BOS,2017,72.0,31:37:00,5.11,10.46,1.35,3.14,1.31,1.67,1.43,5.94,7.38,4.71,0.6,1.08,1.83,1.92,12.88,0.48852772466539196,0.4299363057324841,0.784431137724551
LeBron,James,LAL,2018,55.0,35:13:00,10.15,19.91,2.02,5.95,5.05,7.6,1.04,7.42,8.45,8.25,1.31,0.6,3.58,1.71,27.36,0.5097940733299849,0.33949579831932775,0.6644736842105263
James,Harden,HOU,2018,78.0,36:46:00,10.81,24.47,4.85,13.18,9.67,11.0,0.85,5.79,6.64,7.51,2.03,0.74,4.96,3.13,36.13,0.441765427053535,0.36798179059180575,0.879090909090909
Kevin,Durant,GSW,2018,78.0,34:37:00,9.24,17.73,1.76,4.97,5.74,6.49,0.42,5.95,6.37,5.86,0.74,1.08,2.88,1.99,25.99,0.5211505922165821,0.3541247484909457,0.8844375963020031
Kyrie,Irving,BOS,2018,67.0,33:04:00,9.01,18.52,2.6,6.48,3.19,3.66,1.06,3.94,5.0,6.93,1.54,0.51,2.57,2.49,23.82,0.4865010799136069,0.4012345679012346,0.8715846994535519
Kawhi,Leonard,TOR,2018,60.0,34:00:00,9.33,18.82,1.87,5.03,6.07,7.1,1.3,6.02,7.32,3.32,1.77,0.42,2.02,1.45,26.6,0.4957492029755579,0.37176938369781315,0.8549295774647888
Damian,Lillard,POR,2018,80.0,35:27:00,8.51,19.16,2.96,8.04,5.85,6.41,0.85,3.79,4.64,6.89,1.1,0.43,2.65,1.85,25.84,0.4441544885177453,0.36815920398009955,0.9126365054602184
Klay,Thompson,GSW,2018,78.0,33:59:00,8.4,17.97,3.09,7.68,1.65,2.03,0.47,3.36,3.83,2.38,1.08,0.6,1.47,2.01,21.54,0.4674457429048415,0.40234375,0.812807881773399
Bradley,Beal,WAS,2018,82.0,36:54:00,9.32,19.62,2.55,7.27,4.41,5.46,1.09,3.93,5.01,5.46,1.48,0.71,2.73,2.76,25.6,0.4750254841997961,0.35075653370013754,0.8076923076923077
